0.44	0.34	0.36	0.27	0.26	0.26	0.29	0.46	0.43	0.4	0.39	0.38	0.38	0.37
0.44	0.34	0.36	0.27	0.26	0.26	0.29	0.46	0.43	0.4	0.39	0.38	0.38	0.37
0.44	0.34	0.36	0.27	0.26	0.26	0.29	0.46	0.43	0.4	0.39	0.38	0.38	0.37
0.45	0.33	0.36	0.3	0.3	0.3	0.31	0.46	0.41	0.44	0.4	0.41	0.41	0.35
0.45	0.31	0.35	0.29	0.27	0.26	0.3	0.49	0.41	0.44	0.4	0.41	0.4	0.35
0.45	0.35	0.35	0.27	0.27	0.26	0.3	0.46	0.4	0.41	0.39	0.39	0.38	0.32
0.435	0.345	0.355	0.27	0.28	0.265	0.28500000000000003	0.525	0.39	0.405	0.405	0.395	0.395	0.36
0.44	0.35	0.35	0.27	0.28	0.27	0.3	0.52	0.38	0.41	0.39	0.39	0.38	0.34
0.43	0.35	0.36	0.28	0.29	0.28	0.3	0.46	0.43	0.4	0.39	0.38	0.37	0.37
0.445	0.355	0.36	0.275	0.27	0.265	0.3	0.455	0.405	0.42	0.375	0.375	0.37	0.32
0.45	0.33	0.36	0.3	0.3	0.3	0.31	0.46	0.41	0.44	0.4	0.41	0.41	0.35
0.43	0.34	0.36	0.27	0.28	0.26	0.27	0.53	0.4	0.4	0.42	0.4	0.41	0.38
0.43	0.34	0.36	0.27	0.28	0.26	0.27	0.53	0.4	0.4	0.42	0.4	0.41	0.38
0.43	0.35	0.36	0.28	0.29	0.28	0.3	0.46	0.43	0.4	0.39	0.38	0.37	0.37
0.42	0.31	0.35	0.25	0.24	0.24	0.28	0.58	0.38	0.41	0.37	0.36	0.36	0.34
0.42	0.31	0.35	0.25	0.24	0.24	0.28	0.58	0.38	0.41	0.37	0.36	0.36	0.34
0.41	0.31	0.34	0.24	0.24	0.24	0.27	0.57	0.34	0.39	0.39	0.36	0.37	0.34
0.43	0.35	0.36	0.28	0.29	0.28	0.3	0.46	0.43	0.4	0.39	0.38	0.37	0.37
0.44	0.36	0.37	0.28	0.27	0.27	0.3	0.45	0.41	0.43	0.36	0.36	0.36	0.32
0.44	0.345	0.36	0.29000000000000004	0.29	0.29000000000000004	0.305	0.46499999999999997	0.435	0.42000000000000004	0.395	0.39	0.38	0.35
0.45	0.34	0.36	0.3	0.29	0.3	0.31	0.47	0.44	0.44	0.4	0.4	0.39	0.33
0.41	0.31	0.34	0.24	0.24	0.24	0.27	0.57	0.34	0.39	0.39	0.36	0.37	0.34
0.41	0.31	0.33	0.23	0.25	0.24	0.26	0.56	0.34	0.38	0.39	0.38	0.39	0.35
0.41	0.31	0.34	0.25	0.25	0.25	0.29	0.56	0.39	0.44	0.4	0.41	0.4	0.35
0.4	0.29	0.32	0.25	0.25	0.24	0.26	0.56	0.34	0.36	0.39	0.38	0.39	0.36
0.45	0.38	0.37	0.31	0.31	0.3	0.31	0.43	0.38	0.45	0.38	0.38	0.37	0.31
0.41	0.31	0.34	0.25	0.25	0.25	0.29	0.56	0.39	0.44	0.4	0.41	0.4	0.35
0.45	0.36	0.36	0.3	0.3	0.3	0.31	0.45	0.41	0.45	0.38	0.38	0.38	0.32
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39	0.41	0.39	0.39	0.38
0.45	0.36	0.36	0.3	0.3	0.3	0.31	0.45	0.41	0.45	0.38	0.38	0.38	0.32
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39	0.41	0.39	0.39	0.38
0.43	0.35	0.38	0.3	0.3	0.3	0.31	0.47	0.42	0.39	0.39	0.37	0.35	0.37
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39	0.41	0.39	0.39	0.38
0.44	0.365	0.375	0.305	0.305	0.3	0.31	0.44999999999999996	0.4	0.42000000000000004	0.385	0.375	0.36	0.33999999999999997
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39	0.41	0.39	0.39	0.38
0.43	0.35	0.38	0.3	0.3	0.3	0.31	0.47	0.42	0.39	0.39	0.37	0.35	0.37
0.41	0.31	0.34	0.23	0.25	0.24	0.27	0.51	0.35	0.39	0.4	0.4	0.39	0.35
0.43	0.35	0.38	0.3	0.3	0.3	0.31	0.47	0.42	0.39	0.39	0.37	0.35	0.37
0.41	0.31	0.34	0.23	0.25	0.24	0.27	0.51	0.35	0.39	0.4	0.4	0.39	0.35
0.41	0.33	0.34	0.22	0.22	0.24	0.26	0.52	0.33	0.39	0.4	0.38	0.38	0.38
0.41	0.33	0.34	0.22	0.22	0.24	0.26	0.52	0.33	0.39	0.4	0.38	0.38	0.38
0.44	0.38	0.38	0.3	0.31	0.3	0.31	0.43	0.38	0.42	0.37	0.37	0.35	0.31
0.41	0.33	0.34	0.22	0.22	0.24	0.26	0.52	0.33	0.39	0.4	0.38	0.38	0.38
0.44	0.35	0.38	0.31	0.32	0.32	0.32	0.45	0.4	0.39	0.39	0.37	0.35	0.37
0.41	0.33	0.34	0.22	0.22	0.24	0.26	0.52	0.33	0.39	0.4	0.38	0.38	0.38
0.4	0.29	0.32	0.24	0.24	0.24	0.26	0.51	0.34	0.36	0.41	0.39	0.4	0.36
0.44	0.35	0.38	0.31	0.32	0.32	0.32	0.45	0.4	0.39	0.39	0.37	0.35	0.37
0.45	0.37	0.36	0.31	0.31	0.31	0.32	0.42	0.41	0.44	0.39	0.38	0.37	0.32
0.38	0.3	0.34	0.22	0.23	0.22	0.26	0.53	0.35	0.38	0.39	0.39	0.39	0.35
0.4	0.29	0.32	0.24	0.24	0.24	0.26	0.51	0.34	0.36	0.41	0.39	0.4	0.36
0.44	0.38	0.38	0.3	0.31	0.3	0.31	0.43	0.38	0.42	0.37	0.37	0.35	0.31
0.38	0.3	0.34	0.22	0.23	0.22	0.26	0.53	0.35	0.38	0.39	0.39	0.39	0.35
0.44	0.35	0.38	0.31	0.32	0.32	0.32	0.45	0.4	0.39	0.39	0.37	0.35	0.37
0.44	0.35	0.38	0.31	0.32	0.32	0.32	0.45	0.4	0.39	0.39	0.37	0.35	0.37
0.39	0.32	0.33	0.24	0.24	0.25	0.25	0.52	0.37	0.39	0.4	0.39	0.39	0.38
0.38	0.3	0.34	0.21	0.22	0.21	0.25	0.51	0.35	0.37	0.39	0.39	0.39	0.35
0.39	0.32	0.33	0.24	0.24	0.25	0.25	0.52	0.37	0.39	0.4	0.39	0.39	0.38
0.4	0.29	0.32	0.24	0.23	0.23	0.26	0.51	0.34	0.33	0.41	0.39	0.4	0.36
0.4	0.29	0.32	0.24	0.23	0.23	0.26	0.51	0.34	0.33	0.41	0.39	0.4	0.36
0.46	0.36	0.38	0.33	0.33	0.31	0.32	0.4	0.42	0.43	0.37	0.37	0.34	0.31
0.43	0.34	0.38	0.32	0.31	0.32	0.32	0.42	0.41	0.39	0.39	0.37	0.35	0.37
0.45	0.37	0.37	0.31	0.31	0.31	0.32	0.42	0.42	0.44	0.39	0.38	0.37	0.32
0.38	0.3	0.34	0.21	0.22	0.21	0.25	0.51	0.35	0.37	0.39	0.39	0.39	0.35
0.4	0.32	0.33	0.255	0.26	0.26	0.255	0.52	0.375	0.385	0.395	0.385	0.385	0.375
0.4	0.29	0.32	0.25	0.24	0.25	0.26	0.52	0.33	0.33	0.41	0.39	0.39	0.36
0.43	0.34	0.38	0.32	0.31	0.32	0.32	0.42	0.41	0.39	0.39	0.37	0.35	0.37
0.4	0.29	0.32	0.25	0.24	0.25	0.26	0.52	0.33	0.33	0.41	0.39	0.39	0.36
0.43	0.34	0.38	0.32	0.31	0.32	0.32	0.42	0.41	0.39	0.39	0.37	0.35	0.37
0.41500000000000004	0.33499999999999996	0.355	0.28500000000000003	0.28500000000000003	0.28500000000000003	0.29000000000000004	0.44499999999999995	0.385	0.405	0.385	0.38	0.375	0.345
0.38	0.3	0.34	0.26	0.26	0.26	0.26	0.47	0.35	0.37	0.38	0.38	0.38	0.37
0.38	0.32	0.35	0.22	0.24	0.23	0.25	0.51	0.35	0.37	0.38	0.38	0.38	0.35
0.4	0.29	0.32	0.25	0.24	0.25	0.26	0.48	0.35	0.33	0.43	0.4	0.4	0.39
0.38	0.31	0.34	0.25	0.26	0.24	0.25	0.47	0.36	0.37	0.4	0.4	0.39	0.37
0.4	0.29	0.32	0.25	0.24	0.25	0.26	0.48	0.35	0.33	0.43	0.4	0.4	0.39
0.46	0.37	0.38	0.29	0.3	0.29	0.31	0.42	0.38	0.43	0.35	0.35	0.32	0.29
0.45	0.34	0.38	0.32	0.32	0.32	0.32	0.42	0.42	0.39	0.38	0.37	0.33	0.37
0.41	0.32	0.33	0.27	0.28	0.27	0.26	0.52	0.38	0.38	0.39	0.38	0.38	0.37
0.46	0.37	0.38	0.29	0.3	0.29	0.31	0.42	0.38	0.43	0.35	0.35	0.32	0.29
0.48	0.37	0.37	0.32	0.31	0.31	0.31	0.42	0.4	0.44	0.38	0.38	0.37	0.29
0.4	0.31	0.32	0.28	0.27	0.27	0.26	0.48	0.37	0.34	0.43	0.4	0.4	0.39
0.46499999999999997	0.355	0.375	0.32	0.315	0.315	0.315	0.42	0.41000000000000003	0.41500000000000004	0.38	0.375	0.35	0.32999999999999996
0.38	0.3	0.34	0.27	0.26	0.26	0.26	0.45	0.33	0.37	0.38	0.38	0.38	0.37
0.41	0.32	0.33	0.27	0.28	0.27	0.26	0.52	0.38	0.38	0.39	0.38	0.38	0.37
0.45	0.34	0.38	0.32	0.32	0.32	0.32	0.42	0.42	0.39	0.38	0.37	0.33	0.37
0.38	0.3	0.34	0.27	0.26	0.26	0.26	0.45	0.33	0.37	0.38	0.38	0.38	0.37
0.41	0.32	0.33	0.27	0.28	0.27	0.26	0.52	0.38	0.38	0.39	0.38	0.38	0.37
0.41	0.32	0.33	0.27	0.28	0.27	0.26	0.52	0.38	0.38	0.39	0.38	0.38	0.37
0.41	0.31	0.32	0.27	0.27	0.27	0.26	0.49	0.36	0.35	0.43	0.41	0.42	0.39
0.47	0.37	0.4	0.29	0.3	0.31	0.32	0.44	0.45	0.43	0.34	0.35	0.31	0.27
0.46	0.34	0.38000000000000006	0.3	0.3	0.31	0.32	0.42	0.44	0.4000000000000001	0.36999999999999994	0.36000000000000004	0.33	0.36999999999999994
0.38	0.3	0.33	0.27	0.26	0.26	0.26	0.47	0.34	0.38	0.39	0.39	0.39	0.38
0.46	0.34	0.38	0.3	0.3	0.31	0.32	0.42	0.44	0.4	0.37	0.36	0.33	0.37
0.46	0.37	0.37	0.32	0.31	0.29	0.31	0.41	0.4	0.45	0.35	0.34	0.33	0.29
0.41	0.32	0.33	0.27	0.28	0.27	0.26	0.52	0.36999999999999994	0.38000000000000006	0.38999999999999996	0.38999999999999996	0.38999999999999996	0.36999999999999994
0.38	0.3	0.33	0.27	0.26	0.26	0.26	0.47	0.34	0.38	0.39	0.39	0.39	0.38
0.46	0.37	0.37	0.32	0.31	0.29	0.31	0.41	0.4	0.45	0.35	0.34	0.33	0.29
0.46	0.34	0.39	0.3	0.3	0.31	0.33	0.44	0.41	0.41	0.37	0.36	0.32	0.37
0.41	0.32	0.33	0.27	0.28	0.27	0.26	0.52	0.37	0.38	0.39	0.39	0.39	0.37
0.41	0.3	0.32	0.28	0.28	0.27	0.27	0.49	0.36	0.35	0.42	0.41	0.42	0.39
0.46	0.34	0.39	0.3	0.3	0.31	0.33	0.44	0.41	0.41	0.37	0.36	0.32	0.37
0.41	0.3	0.32	0.28	0.28	0.27	0.27	0.49	0.36	0.35	0.42	0.41	0.42	0.39
0.47	0.345	0.39	0.31	0.305	0.315	0.335	0.445	0.41	0.415	0.365	0.35	0.29000000000000004	0.37
0.47	0.35	0.4	0.31	0.31	0.33	0.34	0.42	0.46	0.43	0.32	0.32	0.29	0.25
0.4633333333333333	0.3633333333333333	0.37333333333333335	0.3033333333333333	0.3033333333333333	0.3033333333333333	0.32	0.4266666666666667	0.44	0.43	0.34	0.3333333333333333	0.31666666666666665	0.27666666666666667
0.48	0.35	0.39	0.32	0.31	0.32	0.34	0.45	0.41	0.42	0.36	0.34	0.26	0.37
0.43	0.3	0.32	0.28	0.28	0.27	0.28	0.49	0.36	0.35	0.42	0.41	0.41	0.39
0.49	0.36	0.41	0.32	0.31	0.33	0.34	0.43	0.44	0.42	0.33	0.3	0.26	0.36
0.41	0.33	0.34	0.3	0.3	0.29	0.28	0.52	0.37	0.36	0.39	0.39	0.39	0.37
0.48	0.38	0.37	0.3	0.3	0.29	0.32	0.41	0.43	0.42	0.3	0.3	0.31	0.29
0.48	0.38	0.37	0.3	0.3	0.29	0.32	0.41	0.43	0.42	0.3	0.3	0.31	0.29
0.49	0.36	0.41	0.32	0.31	0.33	0.34	0.43	0.44	0.42	0.33	0.3	0.26	0.36
0.41	0.33	0.34	0.3	0.3	0.29	0.28	0.52	0.37	0.36	0.39	0.39	0.39	0.37
0.42	0.31	0.33	0.29	0.27	0.29	0.27	0.48	0.34	0.38	0.4	0.4	0.4	0.39
0.49	0.36	0.41	0.32	0.31	0.33	0.34	0.43	0.44	0.42	0.33	0.3	0.26	0.36
0.43	0.31	0.34	0.34	0.32	0.33	0.3	0.44	0.38	0.35	0.36	0.37	0.38	0.38
0.41	0.33	0.34	0.3	0.3	0.29	0.28	0.52	0.37	0.36	0.39	0.39	0.39	0.37
0.45	0.33	0.34	0.35	0.35	0.36	0.32	0.44	0.38	0.36	0.34	0.35	0.38	0.38
0.43	0.31	0.34	0.34	0.32	0.33	0.3	0.44	0.38	0.35	0.36	0.37	0.38	0.38
0.48	0.35	0.4	0.33	0.31	0.34	0.35	0.41	0.46	0.43	0.29	0.29	0.25	0.22
0.48	0.38	0.37	0.32	0.32	0.32	0.33	0.39	0.43	0.44	0.3	0.3	0.31	0.28
0.41	0.33	0.34	0.3	0.3	0.29	0.28	0.52	0.37	0.36	0.39	0.39	0.39	0.37
0.45	0.33	0.34	0.35	0.35	0.36	0.32	0.44	0.38	0.36	0.34	0.35	0.38	0.38
0.42	0.31	0.34	0.31	0.3	0.3	0.28	0.45	0.38	0.35	0.37	0.38	0.39	0.39
0.42	0.31	0.34	0.31	0.3	0.3	0.28	0.45	0.38	0.35	0.37	0.38	0.39	0.39
0.42	0.31	0.33	0.29	0.27	0.29	0.27	0.48	0.34	0.38	0.4	0.4	0.4	0.39
0.49	0.36	0.43	0.32	0.32	0.33	0.35	0.43	0.46	0.42	0.32	0.3	0.26	0.36
0.44	0.35	0.34	0.35	0.35	0.36	0.33	0.48	0.37	0.36	0.34	0.35	0.38	0.38
0.49	0.36	0.43	0.32	0.32	0.33	0.35	0.43	0.46	0.42	0.32	0.3	0.26	0.36
0.48	0.38	0.37	0.32	0.32	0.32	0.33	0.39	0.43	0.44	0.3	0.3	0.31	0.28
0.41	0.34	0.34	0.3	0.3	0.29	0.28	0.49	0.36000000000000004	0.36000000000000004	0.41	0.41	0.38999999999999996	0.36999999999999994
0.44	0.35	0.34	0.35	0.35	0.36	0.33	0.48	0.37	0.36	0.34	0.35	0.38	0.38
0.48	0.38	0.37	0.38	0.38	0.38	0.36	0.44	0.47	0.35	0.36	0.37	0.37	0.37
0.49	0.36	0.43	0.32	0.32	0.33	0.35	0.43	0.46	0.42	0.32	0.3	0.26	0.36
0.41	0.34	0.34	0.3	0.3	0.29	0.28	0.49	0.36	0.36	0.41	0.41	0.39	0.37
0.42	0.31	0.34	0.28	0.29	0.29	0.27	0.47	0.34	0.36	0.38	0.38	0.39	0.39
0.41	0.31	0.34	0.28	0.28	0.29	0.27	0.49	0.34	0.38	0.4	0.4	0.4	0.39
0.48	0.35	0.4	0.33	0.31	0.34	0.35	0.41	0.46	0.43	0.29	0.29	0.25	0.22
0.49	0.36	0.43	0.32	0.32	0.33	0.35	0.43	0.46	0.42	0.32	0.3	0.26	0.36
0.48	0.38	0.37	0.38	0.38	0.38	0.36	0.44	0.47	0.35	0.36	0.37	0.37	0.37
0.48	0.39	0.39	0.31	0.32	0.31	0.33	0.37	0.46	0.44	0.3	0.3	0.31	0.28
0.48	0.39	0.39	0.31	0.32	0.31	0.33	0.37	0.46	0.44	0.3	0.3	0.31	0.28
0.49	0.38	0.43	0.32	0.32	0.33	0.35	0.43	0.46	0.42	0.29	0.29	0.26	0.36
0.43	0.36	0.36	0.38	0.38	0.38	0.35	0.48	0.41	0.35	0.36	0.36	0.37	0.37
0.48	0.38	0.37	0.38	0.38	0.38	0.36	0.48	0.45	0.35	0.36	0.37	0.36	0.37
0.48	0.35	0.41	0.33	0.34	0.35	0.36	0.4	0.48	0.42	0.27	0.28	0.25	0.22
0.41	0.33	0.34	0.31	0.31	0.3	0.29	0.49	0.36	0.38	0.41	0.41	0.39	0.37
0.48	0.35	0.41	0.33	0.34	0.35	0.36	0.4	0.48	0.42	0.27	0.28	0.25	0.22
0.41	0.33	0.34	0.31	0.31	0.3	0.29	0.49	0.36	0.38	0.41	0.41	0.39	0.37
0.48	0.38	0.37	0.38	0.38	0.38	0.36	0.48	0.45	0.35	0.36	0.37	0.36	0.37
0.51	0.4	0.43	0.32	0.32	0.32	0.35	0.39	0.46	0.42	0.29	0.29	0.25	0.36
0.41	0.33	0.34	0.31	0.31	0.3	0.29	0.49	0.36	0.38	0.41	0.41	0.39	0.37
0.43	0.32	0.32	0.28	0.28	0.28	0.28	0.49	0.37	0.35	0.38	0.39	0.39	0.39
0.48	0.38	0.37	0.38	0.38	0.38	0.36	0.46	0.43	0.35	0.36	0.37	0.36	0.37
0.48	0.38	0.37	0.38	0.38	0.38	0.36	0.46	0.43	0.35	0.36	0.37	0.36	0.37
0.41	0.34	0.34	0.3	0.31	0.3	0.29	0.49	0.38	0.39	0.4	0.4	0.37	0.37
0.43	0.32	0.32	0.28	0.28	0.28	0.28	0.49	0.37	0.35	0.38	0.39	0.39	0.39
0.48	0.39	0.37	0.38	0.37	0.38	0.37	0.46	0.44	0.35	0.35	0.36	0.36	0.37
0.51	0.4	0.44	0.31	0.32	0.32	0.35	0.37	0.5	0.43	0.28	0.27	0.23	0.23
0.51	0.39	0.4	0.36	0.36	0.36	0.35	0.39	0.48	0.45	0.3	0.3	0.3	0.28
0.43	0.32	0.34	0.33	0.33	0.33	0.3	0.49	0.38	0.37	0.36	0.37	0.36	0.36
0.41	0.34	0.34	0.3	0.31	0.3	0.29	0.49	0.38	0.39	0.4	0.4	0.37	0.37
0.49	0.4	0.41	0.33	0.34	0.36	0.37	0.36	0.49	0.46	0.25	0.27	0.25	0.22
0.51	0.39	0.4	0.36	0.36	0.36	0.35	0.39	0.48	0.45	0.3	0.3	0.3	0.28
0.43	0.32	0.34	0.33	0.33	0.33	0.3	0.49	0.38	0.37	0.36	0.37	0.36	0.36
0.43	0.32	0.34	0.33	0.33	0.33	0.3	0.49	0.38	0.37	0.36	0.37	0.36	0.36
0.51	0.4	0.44	0.31	0.32	0.32	0.35	0.37	0.5	0.43	0.28	0.27	0.23	0.23
0.41	0.32	0.32	0.3	0.31	0.3	0.29	0.48	0.37	0.36	0.39	0.39	0.4	0.39
0.48	0.39	0.37	0.38	0.37	0.38	0.37	0.46	0.44	0.35	0.35	0.36	0.36	0.37
0.515	0.405	0.43	0.33499999999999996	0.33999999999999997	0.345	0.36	0.38	0.49	0.44	0.29000000000000004	0.28500000000000003	0.26	0.255
0.49	0.4	0.41	0.33	0.34	0.36	0.37	0.36	0.49	0.46	0.25	0.27	0.25	0.22
0.51	0.4	0.44	0.31	0.32	0.32	0.35	0.37	0.5	0.43	0.28	0.27	0.23	0.23
0.43	0.32	0.33	0.3	0.31	0.31	0.3	0.5	0.36	0.36	0.36	0.37	0.36	0.36
0.41	0.32	0.32	0.3	0.31	0.3	0.29	0.48	0.37	0.36	0.39	0.39	0.4	0.39
0.47	0.38	0.38	0.37	0.37	0.38	0.37	0.48	0.42	0.35	0.34	0.36	0.36	0.37
0.43	0.32	0.33	0.3	0.31	0.31	0.3	0.5	0.36	0.36	0.36	0.37	0.36	0.36
0.43	0.32	0.33	0.3	0.31	0.31	0.3	0.5	0.36	0.36	0.36	0.37	0.36	0.36
0.52	0.41	0.42	0.36	0.36	0.37	0.37	0.39	0.48	0.45	0.3	0.3	0.29	0.28
0.54	0.42	0.43	0.36	0.37	0.38	0.39	0.38	0.48	0.45	0.3	0.3	0.29	0.28
0.43	0.34	0.33	0.3	0.32	0.32	0.3	0.5	0.4	0.36	0.37	0.38	0.37	0.36
0.49	0.41	0.41	0.36	0.36	0.39	0.38	0.36	0.5	0.47	0.25	0.26	0.25	0.22
0.54	0.42	0.43	0.36	0.37	0.38	0.39	0.38	0.48	0.45	0.3	0.3	0.29	0.28
0.49	0.41	0.41	0.36	0.36	0.39	0.38	0.36	0.5	0.47	0.25	0.26	0.25	0.22
0.43	0.32	0.32	0.3	0.31	0.3	0.29	0.49	0.37	0.36	0.38	0.39	0.4	0.39
0.49	0.405	0.405	0.34	0.35	0.36	0.355	0.415	0.46499999999999997	0.41	0.30000000000000004	0.3	0.295	0.3
0.46	0.39	0.37	0.34	0.35	0.34	0.35	0.48	0.42	0.35	0.34	0.36	0.36	0.37
0.43	0.34	0.33	0.3	0.32	0.32	0.3	0.5	0.4	0.36	0.37	0.38	0.37	0.36
0.53	0.48	0.44	0.43	0.43	0.43	0.43	0.38	0.46	0.43	0.25	0.25	0.24	0.24
0.52	0.42	0.44	0.34	0.35	0.38	0.36	0.35	0.51	0.47	0.26	0.24	0.23	0.23
0.43	0.32	0.32	0.3	0.31	0.3	0.29	0.49	0.37	0.36	0.38	0.39	0.4	0.39
0.53	0.48	0.44	0.43	0.43	0.43	0.43	0.38	0.46	0.43	0.25	0.25	0.24	0.24
0.52	0.42	0.44	0.34	0.35	0.38	0.36	0.35	0.51	0.47	0.26	0.24	0.23	0.23
0.43	0.34	0.33	0.3	0.32	0.32	0.3	0.5	0.4	0.36	0.37	0.38	0.37	0.36
0.53	0.48	0.45	0.43	0.43	0.43	0.43	0.38	0.45	0.43	0.25	0.25	0.24	0.24
0.53	0.48	0.44	0.43	0.43	0.43	0.43	0.38	0.46	0.43	0.25	0.25	0.24	0.24
0.43	0.34	0.33	0.3	0.32	0.32	0.3	0.5	0.4	0.36	0.37	0.38	0.37	0.36
0.54	0.49	0.44	0.44	0.45	0.45	0.44	0.38000000000000006	0.44	0.42	0.25	0.25	0.24	0.24
0.54	0.49	0.44	0.44	0.45	0.45	0.44	0.38	0.44	0.42	0.25	0.25	0.24	0.24
0.53	0.48	0.45	0.43	0.43	0.43	0.43	0.38	0.45	0.43	0.25	0.25	0.24	0.24
0.53	0.48	0.45	0.43	0.43	0.43	0.43	0.38	0.45	0.43	0.25	0.25	0.24	0.24
